以下是对《谜语遗产：七重谜域》游戏代码的全面问题排查与修复意见。基于你提供的所有文件（`data.py`、`engine.py`、`index.html`、文本文件等），我逐项分析了逻辑断层、状态管理、场景跳转、支线完成、结局条件等方面的问题，并给出具体修复建议。

---

## 一、全局性问题

### 1. 状态变量命名混乱
- **问题**：同一类状态使用不同命名，例如支线完成标志既有 `side_quest_butler_done`，又有 `sq_paint_full`，还有 `sq_music_full`。道具名称有时带前缀有时不带，导致条件判断失效。
- **建议**：
  - 统一使用前缀区分类型：
    - `flag_` 用于布尔标志（如 `flag_painting_diary_read`）
    - `side_` 用于支线进度（如 `side_butler_status` 可取 `"not_started"`、`"triggered"`、`"completed"`）
    - 道具统一存储为纯名称字符串，不带前缀，如 `"机械齿轮"`
    - 线索统一存储为纯字符串，如 `"克劳利的日记"`
  - 在 `GameState` 中提供方法如 `set_side_quest_status(id, status)`、`has_flag(flag)` 等。

### 2. 场景 ID 命名不一致
- **问题**：选项中的目标 ID 与场景字典中的键不匹配，例如某些地方用 `hall` 而实际场景是 `hall_main`；支线场景用 `side_quest_painting` 但定义的是 `side_story_2_start`。
- **建议**：
  - 全局搜索所有 `Option` 的 target，与 `scenes` 字典的键进行比对，修正不匹配项。
  - 使用脚本自动检查（如 `check_missing_targets.py`），确保每个目标都存在。

### 3. 缺失返回路径
- **问题**：许多分支场景只有有限的选项，如果玩家误入没有出口的节点，游戏会卡死。例如某些陷阱场景没有返回大厅的选项。
- **建议**：
  - 每个非终点的场景应至少包含一个“返回大厅”或“返回上一级”的选项。
  - 死亡结局应提供重试选项（重新开始当前房间、返回大厅、读档）。

### 4. 道具系统未完全实现
- **问题**：很多道具获得后没有在后续谜题中使用（如机械齿轮用于音乐室，但代码中并未真正消耗），且没有消耗机制。
- **建议**：
  - 设计统一的道具使用流程：当玩家选择使用道具时，检查是否存在，使用后从列表中移除（若为一次性）。
  - 在需要道具的选项中，除条件判断外，还应添加 `effect` 函数来移除道具。

### 5. 大厅描述未动态变化
- **问题**：已有不同徽章数量时的大厅描述文本，但代码中 `hall_main` 场景使用的是固定描述。
- **建议**：
  - 在 `hall_main` 场景的 `on_enter` 函数中，根据 `hall_medal_count` 动态返回不同的描述字符串。
  - 或者将大厅拆分为多个不同 ID 的场景，根据徽章数量跳转。

---

## 二、各模块具体问题

### 1. 大厅与管家相关

| 问题位置 | 问题描述 | 修复建议 |
|----------|----------|----------|
| `data.py` 中 `hall_main` 选项列表 | 缺少“前往卧室”选项，卧室场景虽然存在但未加入大厅菜单。 | 在 `hall_main` 选项中添加 `Option("前往卧室", "bedroom_entry")`。 |
| 管家支线触发条件 | `side_story_1_start` 的触发依赖于玩家从某个房间返回大厅后检测管家不在。但当前没有主动触发机制，玩家只能通过大厅的“寻找失踪的管家”选项手动触发。 | 改为在 `hall_main` 的 `on_enter` 中检查 `flag_butler_triggered`，若未触发且已获得至少3枚徽章，则自动显示提示并跳转 `side_story_1_start`。 |
| 支线一完成标志 | `side_ending_master` 和 `side_ending_spreader` 中设置了 `sq_butler_done` 等标志，但 `sq_butler_done` 在其他地方未使用，且名称不一致。 | 统一为 `side_butler_completed`，并在最终密室条件中使用该标志。 |
| 管家支线奖励 | 支线一结局后没有实际道具奖励（除了隐藏的怀表）。 | 在 `side_ending_spreader` 中增加 `state.add_item("克劳利谜题笔记")`，并确保该道具在后续有用。 |

### 2. 图书馆谜题

| 问题位置 | 问题描述 | 修复建议 |
|----------|----------|----------|
| `library_pull_wisdom` 场景 | 获得徽章后直接跳转 `hall`，但没有中间过渡文本。 | 添加一个中间场景，显示“你将徽章收入怀中...”的描述，再跳转大厅。 |
| `library_trap_needle` 等陷阱 | 陷阱后直接跳转大厅，没有统一死亡处理，也没有重试选项。 | 改为跳转至统一的死亡场景（如 `library_death`），该场景提供重试选项。 |
| 星盘与天球仪分支 | `library_astrolabe_calibrate` 获得银质徽章，但该徽章后续未使用。 | 确保银质徽章在后续谜题中起作用（如卧室油画），或添加说明。 |

### 3. 音乐室谜题

| 问题位置 | 问题描述 | 修复建议 |
|----------|----------|----------|
| `musicroom_organ_unlock` | 嵌入机械齿轮后，玩家需要“摇动并在供气状态下放置键帽演奏”，但实际选项只有一个“放置键帽演奏”，缺少供气步骤。 | 增加一个中间场景，让玩家先摇动鼓风机（或固定手柄），再演奏。 |
| `musicroom_piano_tuned` | 调音后获得“七色花苞”，但没有说明用途。 | 在温室谜题中需要七色花苞，应确保该道具可被正确识别。 |
| 支线四触发 | `side_story_4_start` 条件为 `has_item("旋律徽章")`，但玩家可能先完成音乐室获得旋律徽章后不再回来，导致支线不触发。 | 改为在 `musicroom_entry` 的 `on_enter` 中检测标志，若未触发则自动提示并跳转。 |

### 4. 温室谜题

| 问题位置 | 问题描述 | 修复建议 |
